"TID" "DATA_SET" "STATION" "GEAR_MODEL" "DATE_" "Year" "Month" "Day" "D.N" "HEURE" "Region" "LONGITUDE" "LATITUDE" "ZMin" "ZMax" "Zstation" "Z_habitat" "TAXON" "STADE" "Ind.m3" "ind.m2" "ID" "total_abund" "cum_abund" "pcum" "percZ_stn" "lInd.m3"
"24" "95-09-20_48.67_-68.58_CI_III" "Cfin_GSL" "K5" NA "95-09-20" 1995 "9" 20 "D" 16 "LSLE" -68.58 48.67 0 25 300 "Basins_100-325m" "Cfin" "CI_III" 7.272 181.8 "95-09-20_48.67_-68.58" 668.6 181.8 0.271911456775352 0.0833333333333333 2.11287631776607
"25" "95-09-21_48.44_-69.21_CI_III" "Cfin_GSL" "H1" NA "95-09-21" 1995 "9" 21 "D" 13 "LSLE" -69.21 48.44 0 25 325 "Basins_100-325m" "Cfin" "CI_III" 1.144 28.6 "95-09-21_48.44_-69.21" 1153.4 28.6 0.02479625455176 0.0769230769230769 0.762673243208556
"26" "95-09-22_48.74_-68.72_CI_III" "Cfin_GSL" "K3" NA "95-09-22" 1995 "9" 22 "D" 13 "LSLE" -68.72 48.74 0 25 300 "Basins_100-325m" "Cfin" "CI_III" 0 0 "95-09-22_48.74_-68.72" 1690.3 0 0 0.0833333333333333 0
"27" "95-09-23_48.75_-68.1_CI_III" "Cfin_GSL" "M7" NA "95-09-23" 1995 "9" 23 "N" 21 "LSLE" -68.1 48.75 0 25 300 "Basins_100-325m" "Cfin" "CI_III" 0 0 "95-09-23_48.75_-68.1" 909.2 0 0 0.0833333333333333 0
"28" "96-09-13_48.29_-69.26_CI_III" "Cfin_GSL" "G3" NA "96-09-13" 1996 "9" 13 "D" 14 "LSLE" -69.26 48.29 0 25 300 "Basins_100-325m" "Cfin" "CI_III" 0 0 "96-09-13_48.29_-69.26" 208.4 0 0 0.0833333333333333 0
"29" "96-09-13_48.31_-69.31_CI_III" "Cfin_GSL" "G2" NA "96-09-13" 1996 "9" 13 "D" 11 "LSLE" -69.31 48.31 0 25 300 "Basins_100-325m" "Cfin" "CI_III" 0 0 "96-09-13_48.31_-69.31" 162.4 0 0 0.0833333333333333 0
"30" "96-09-18_49.32_-66.63_CI_III" "Cfin_GSL" "T5" NA "96-09-18" 1996 "9" 18 "D" 13 "NWGSL" -66.63 49.32 0 25 300 "Basins_100-325m" "Cfin" "CI_III" 13.696 342.4 "96-09-18_49.32_-66.63" 5999.5 342.4 0.0570714226185515 0.0833333333333333 2.68757534791282
"31" "97-06-27_48.67_-68.58_CI_III" "Cfin_GSL" "K5" NA "97-06-27" 1997 "6" 27 "D" 15 "LSLE" -68.58 48.67 0 25 300 "Basins_100-325m" "Cfin" "CI_III" 7.564 189.1 "97-06-27_48.67_-68.58" 513.1 189.1 0.368544143441824 0.0833333333333333 2.14756737072744
"32" "97-06-28_48.31_-69.31_CI_III" "Cfin_GSL" "G2" NA "97-06-28" 1997 "6" 28 "N" 21 "LSLE" -69.31 48.31 0 25 300 "Basins_100-325m" "Cfin" "CI_III" 6.096 152.4 "97-06-28_48.31_-69.31" 1426.7 152.4 0.106819934113689 0.0833333333333333 1.95953124500728
"33" "97-06-29_48.31_-69.31_CI_III" "Cfin_GSL" "G2" NA "97-06-29" 1997 "6" 29 "D" 13 "LSLE" -69.31 48.31 0 25 300 "Basins_100-325m" "Cfin" "CI_III" 5.38 134.5 "97-06-29_48.31_-69.31" 236.7 134.5 0.56822982678496 0.0833333333333333 1.8531680973567
"34" "97-06-29_48.67_-68.58_CI_III" "Cfin_GSL" "K5" NA "97-06-29" 1997 "6" 29 "N" 21 "LSLE" -68.58 48.67 0 25 300 "Basins_100-325m" "Cfin" "CI_III" 16.336 408.4 "97-06-29_48.67_-68.58" 408.4 408.4 1 0.0833333333333333 2.85278526423406
"35" "97-07-01_49.02_-67.73_CI_III" "Cfin_GSL" "O4" NA "97-07-01" 1997 "7" 1 "N" 20 "LSLE" -67.73 49.02 0 25 300 "Basins_100-325m" "Cfin" "CI_III" 0 0 "97-07-01_49.02_-67.73" 17.1 0 0 0.0833333333333333 0
"36" "97-07-02_49.02_-67.73_CI_III" "Cfin_GSL" "O4" NA "97-07-02" 1997 "7" 2 "D" 13 "LSLE" -67.73 49.02 0 25 300 "Basins_100-325m" "Cfin" "CI_III" 0 0 "97-07-02_49.02_-67.73" 40 0 0 0.0833333333333333 0
"37" "98-05-29_48.67_-68.58_CI_III" "Cfin_GSL" "K5" NA "98-05-29" 1998 "5" 29 "N" 22 "LSLE" -68.58 48.67 0 25 300 "Basins_100-325m" "Cfin" "CI_III" 0.4 10 "98-05-29_48.67_-68.58" 40.2 10 0.248756218905473 0.0833333333333333 0.336472236621213
"38" "98-05-30_48.31_-69.31_CI_III" "Cfin_GSL" "G2" NA "98-05-30" 1998 "5" 30 "D" 11 "LSLE" -69.31 48.31 0 50 300 "Basins_100-325m" "Cfin" "CI_III" 25.994 1299.7 "98-05-30_48.31_-69.31" 3106.5 1299.7 0.418380814421375 0.166666666666667 3.29561461908709
"39" "98-05-30_48.67_-68.58_CI_III" "Cfin_GSL" "K5" NA "98-05-30" 1998 "5" 30 "N" 23 "LSLE" -68.58 48.67 0 25 300 "Basins_100-325m" "Cfin" "CI_III" 1 25 "98-05-30_48.67_-68.58" 172.2 25 0.145180023228804 0.0833333333333333 0.693147180559945
"40" "98-06-01_48.67_-68.58_CI_III" "Cfin_GSL" "K5" NA "98-06-01" 1998 "6" 1 "D" 13 "LSLE" -68.58 48.67 0 25 300 "Basins_100-325m" "Cfin" "CI_III" 15.708 392.7 "98-06-01_48.67_-68.58" 1286 392.7 0.305365474339036 0.0833333333333333 2.81588764663493
"41" "98-06-01_49.72_-66.25_CI_III" "Cfin_GSL" "U2" NA "98-06-01" 1998 "6" 1 "N" 0 "NWGSL" -66.25 49.72 25 50 300 "Basins_100-325m" "Cfin" "CI_III" 1.8 45 "98-06-01_49.72_-66.25" 79.2 45 0.568181818181818 0.166666666666667 1.02961941718116
"42" "98-06-02_49.24_-66.2_CI_III" "Cfin_GSL" "U6" NA "98-06-02" 1998 "6" 2 "N" 22 "NWGSL" -66.2 49.24 0 25 180 "Basins_100-325m" "Cfin" "CI_III" 152.868 3821.7 "98-06-02_49.24_-66.2" 15365.1 3821.7 0.248726008942343 0.138888888888889 5.0360950919995
"43" "98-06-02_49.72_-66.25_CI_III" "Cfin_GSL" "U2" NA "98-06-02" 1998 "6" 2 "N" 0 "NWGSL" -66.25 49.72 0 25 300 "Basins_100-325m" "Cfin" "CI_III" 6.244 156.1 "98-06-02_49.72_-66.25" 417 156.1 0.374340527577938 0.0833333333333333 1.98017354002117
"44" "98-06-03_49.24_-66.2_CI_III" "Cfin_GSL" "U6" NA "98-06-03" 1998 "6" 3 "D" 10 "NWGSL" -66.2 49.24 0 25 180 "Basins_100-325m" "Cfin" "CI_III" 36.352 908.8 "98-06-03_49.24_-66.2" 10566.7 908.8 0.0860060378358428 0.138888888888889 3.62038645766864
"45" "98-09-15_49.72_-66.25_CI_III" "Cfin_GSL" "U2" NA "98-09-15" 1998 "9" 15 "D" 13 "NWGSL" -66.25 49.72 0 25 300 "Basins_100-325m" "Cfin" "CI_III" 150.42 3760.5 "98-09-15_49.72_-66.25" 10037.4 3760.5 0.374648813437743 0.0833333333333333 5.02005743267516
"46" "98-09-16_49.24_-66.2_CI_III" "Cfin_GSL" "U6" NA "98-09-16" 1998 "9" 16 "D" 15 "NWGSL" -66.2 49.24 0 25 180 "Basins_100-325m" "Cfin" "CI_III" 143.5 3587.5 "98-09-16_49.24_-66.2" 57539.4 3587.5 0.0623485820151062 0.138888888888889 4.97327950755249
"47" "98-09-16_49.72_-66.25_CI_III" "Cfin_GSL" "U2" NA "98-09-16" 1998 "9" 16 "N" 2 "NWGSL" -66.25 49.72 0 25 300 "Basins_100-325m" "Cfin" "CI_III" 54.848 1371.2 "98-09-16_49.72_-66.25" 5274.1 1371.2 0.259987486016572 0.0833333333333333 4.0226337146681
"48" "98-09-17_48.67_-68.58_CI_III" "Cfin_GSL" "K5" NA "98-09-17" 1998 "9" 17 "D" 9 "LSLE" -68.58 48.67 0 25 300 "Basins_100-325m" "Cfin" "CI_III" 96.532 2413.3 "98-09-17_48.67_-68.58" 15862.7 2413.3 0.152136773689221 0.0833333333333333 4.58018052928449
"49" "04-04-27_43.85_-62.91_Cfin_CI_III" "SS_CALSPP" "HL3" "BIONESS 0.5m" "04-04-27" 2004 "4" 27 "D" 1337 "WSS" -62.91 43.85 0 25 264 "Basins_100-325m" "Cfin" "CI_III" 68.32 1708 "04-04-27_43.85_-62.91" 13938 1708 0.122542689051514 0.0946969696969697 4.2387334648474
"50" "85-06-11_44.68_-56.49_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 1.0m" "85-06-11" 1985 "6" 11 "D" 1800 "ESS" -56.49 44.68 0 20 400 "Slope_325-750m" "Cfin" "CI_III" 5.75 115 "85-06-11_44.68_-56.49" 447 115 0.257270693512304 0.05 1.90954250488444
"51" "88-04-14_43.73_-62.95_Cfin_CI_III" "SS_CALSPP" "HL3" "BIONESS 1.0m" "88-04-14" 1988 "4" 14 "D" 1500 "WSS" -62.95 43.73 0 10 250 "Basins_100-325m" "Cfin" "CI_III" 465.7 4657 "88-04-14_43.73_-62.95" 19739 4657 0.235928871776686 0.04 6.14568665295577
"52" "92-11-08_43.81_-62.95_Cfin_CI_III" "SS_CALSPP" "HL3" "BIONESS 1.0m" "92-11-08" 1992 "11" 8 "D" 920 "WSS" -62.95 43.81 0 25 265 "Basins_100-325m" "Cfin" "CI_III" 0 0 "92-11-08_43.81_-62.95" 0 0 0 0.0943396226415094 0
"53" "00-04-07_43.25_-65.03_Cfin_CI_III" "SS_CALSPP" "RL1" "BIONESS 0.5m" "00-04-07" 2000 "4" 7 "D" 1045 "WSS" -65.03 43.25 0 20.5 164.6 "Basins_100-325m" "Cfin" "CI_III" 164.146341463415 3365 "00-04-07_43.25_-65.03" 3612 3365 0.931616832779623 0.124544349939247 5.10683199878134
"54" "00-04-11_43.88_-62.88_Cfin_CI_III" "SS_CALSPP" "HL3" "BIONESS 0.5m" "00-04-11" 2000 "4" 11 "N" 2040 "WSS" -62.88 43.88 24.1 49.7 258.4 "Basins_100-325m" "Cfin" "CI_III" 414.53125 10612 "00-04-11_43.88_-62.88" 10623 10612 0.99896451096677 0.19233746130031 6.02955782205698
"55" "00-04-14_44.13_-59.11_Cfin_CI_III" "SS_CALSPP" "GULDD2" "BIONESS 0.5m" "00-04-14" 2000 "4" 14 "N" 2320 "ESS" -59.11 44.13 0 25.5 294.8 "Basins_100-325m" "Cfin" "CI_III" 304.352941176471 7761 "00-04-14_44.13_-59.11" 31079 7761 0.249718459409891 0.0864993215739484 5.72146829177101
"56" "00-04-14_44.22_-59.56_Cfin_CI_III" "SS_CALSPP" "GULDD1" "BIONESS 0.5m" "00-04-14" 2000 "4" 14 "N" 2000 "ESS" -59.56 44.22 0 20.3 217.4 "Basins_100-325m" "Cfin" "CI_III" 186.847290640394 3793 "00-04-14_44.22_-59.56" 38650 3793 0.098137128072445 0.093376264949402 5.23562934892099
"57" "00-04-15_43.8_-58.9_Cfin_CI_III" "SS_CALSPP" "GULDD4" "BIONESS 0.5m" "00-04-15" 2000 "4" 15 "N" 2125 "ESS" -58.9 43.8 0.4 50.2 1875.5 "Oceanic_>750m" "Cfin" "CI_III" 531.4859437751 26468 "00-04-15_43.8_-58.9" 26533 26468 0.997550220480157 0.0267661956811517 6.2775565005687
"58" "00-04-15_44.01_-59.04_Cfin_CI_III" "SS_CALSPP" "GULDD3" "BIONESS 0.5m" "00-04-15" 2000 "4" 15 "D" 1825 "ESS" -59.04 44.01 0.4 50.3 464.7 "Slope_325-750m" "Cfin" "CI_III" 426.112224448898 21263 "00-04-15_44.01_-59.04" 21448 21263 0.991374487131667 0.108241876479449 6.05704679942072
"59" "00-04-18_44.1_-59.99_Cfin_CI_III" "SS_CALSPP" "CSL3" "BIONESS 0.5m" "00-04-18" 2000 "4" 18 "D" 1815 "ESS" -59.99 44.1 0.7 50.6 320.6 "Basins_100-325m" "Cfin" "CI_III" 17.5951903807615 878 "00-04-18_44.1_-59.99" 915 878 0.959562841530055 0.157829070492826 2.92290296560166
"60" "00-10-01_43.27_-65.03_Cfin_CI_III" "SS_CALSPP" "RL1" "BIONESS 0.5m" "00-10-01" 2000 "10" 1 "D" 1158 "WSS" -65.03 43.27 0.1 10.7 165.2 "Basins_100-325m" "Cfin" "CI_III" 7.92452830188679 84 "00-10-01_43.27_-65.03" 803 84 0.104607721046077 0.0647699757869249 2.18880347493981
"61" "00-10-02_41.87_-65.35_Cfin_CI_III" "SS_CALSPP" "BBL7" "HydroBIOS" "00-10-02" 2000 "10" 2 "D" 1417 "WSS" -65.35 41.87 100 500 2009.5 "Oceanic_>750m" "Cfin" "CI_III" 0 0 "00-10-02_41.87_-65.35" 0 0 0 0.248818113958696 0
"62" "00-10-02_41.98_-65.5_Cfin_CI_III" "SS_CALSPP" "BBL6" "HydroBIOS" "00-10-02" 2000 "10" 2 "D" 1220 "WSS" -65.5 41.98 100 250 1100 "Oceanic_>750m" "Cfin" "CI_III" 0 0 "00-10-02_41.98_-65.5" 0 0 0 0.227272727272727 0
"63" "00-10-07_43.91_-62.88_Cfin_CI_III" "SS_CALSPP" "HL3" "BIONESS 0.5m" "00-10-07" 2000 "10" 7 "D" 1325 "WSS" -62.88 43.91 0.1 17.8 259.2 "Basins_100-325m" "Cfin" "CI_III" 0 0 "00-10-07_43.91_-62.88" 150 0 0 0.0686728395061728 0
"64" "00-10-09_44.24_-59.58_Cfin_CI_III" "SS_CALSPP" "GULDD1" "BIONESS 0.5m" "00-10-09" 2000 "10" 9 "D" 1655 "ESS" -59.58 44.24 15.3 36.2 211.9 "Basins_100-325m" "Cfin" "CI_III" 0 0 "00-10-09_44.24_-59.58" 0 0 0 0.170835299669655 0
"65" "00-10-10_43.99_-59.01_Cfin_CI_III" "SS_CALSPP" "GULDD3" "BIONESS 0.5m" "00-10-10" 2000 "10" 10 "N" 2221 "ESS" -59.01 43.99 0.3 30.4 703 "Slope_325-750m" "Cfin" "CI_III" 7.70764119601329 232 "00-10-10_43.99_-59.01" 371 232 0.62533692722372 0.0432432432432432 2.16420093857453
"66" "00-10-10_44.15_-59.25_Cfin_CI_III" "SS_CALSPP" "not assigned" "BIONESS 0.5m" "00-10-10" 2000 "10" 10 "N" 2016 "ESS" -59.25 44.15 0.5 24.7 292.4 "Basins_100-325m" "Cfin" "CI_III" 0 0 "00-10-10_44.15_-59.25" 309 0 0 0.0844733242134063 0
"67" "00-10-11_44.12_-58.18_Cfin_CI_III" "SS_CALSPP" "LL7" "HydroBIOS" "00-10-11" 2000 "10" 11 "D" 1825 "ESS" -58.18 44.12 100 250 891.6 "Oceanic_>750m" "Cfin" "CI_III" 0 0 "00-10-11_44.12_-58.18" 0 0 0 0.280394795872589 0
"68" "00-10-13_47.26_-59.74_Cfin_CI_III" "SS_CALSPP" "CSL4" "BIONESS 0.5m" "00-10-13" 2000 "10" 13 "D" 1403 "ESS" -59.74 47.26 1.2 99 454.2 "Slope_325-750m" "Cfin" "CI_III" 0.81799591002045 80 "00-10-13_47.26_-59.74" 80 80 1 0.217965653896962 0.597734746039033
"69" "00-10-14_45.96_-57.59_Cfin_CI_III" "SS_CALSPP" "LC4" "BIONESS 0.5m" "00-10-14" 2000 "10" 14 "D" 1626 "ESS" -57.59 45.96 0.6 98.9 473.3 "Slope_325-750m" "Cfin" "CI_III" 9.0030518819939 885 "00-10-14_45.96_-57.59" 900 885 0.983333333333333 0.208958377350518 2.30289023463299
"70" "00-10-15_43.78_-58.89_Cfin_CI_III" "SS_CALSPP" "GULDD4" "BIONESS 0.5m" "00-10-15" 2000 "10" 15 "D" 925 "ESS" -58.89 43.78 59.5 120.4 2206.3 "Oceanic_>750m" "Cfin" "CI_III" 0 0 "00-10-15_43.78_-58.89" 0 0 0 0.0545710012237683 0
"71" "01-05-02_43.25_-65.04_Cfin_CI_III" "SS_CALSPP" "RL1" "BIONESS 0.5m" "01-05-02" 2001 "5" 2 "D" 1112 "WSS" -65.04 43.25 1 15 164.6 "Basins_100-325m" "Cfin" "CI_III" 1500 21000 "01-05-02_43.25_-65.04" 75983 21000 0.276377610781359 0.0911300121506683 7.31388683163346
"72" "01-05-09_43.87_-62.87_Cfin_CI_III" "SS_CALSPP" "HL3" "BIONESS 0.5m" "01-05-09" 2001 "5" 9 "N" 16 "WSS" -62.87 43.87 1 25 260.8 "Basins_100-325m" "Cfin" "CI_III" 1465.54166666667 35173 "01-05-09_43.87_-62.87" 38172 35173 0.921434559362884 0.0958588957055215 7.29066230033346
"73" "01-05-10_44.03_-59.02_Cfin_CI_III" "SS_CALSPP" "GUL2" "BIONESS 0.5m" "01-05-10" 2001 "5" 10 "N" 120 "ESS" -59.02 44.03 0 50 1066.4 "Oceanic_>750m" "Cfin" "CI_III" 177.78 8889 "01-05-10_44.03_-59.02" 10419 8889 0.8531528937518 0.0468867216804201 5.18615599965971
"74" "01-10-26_43.25_-65.05_Cfin_CI_III" "SS_CALSPP" "RL1" "BIONESS 0.5m" "01-10-26" 2001 "10" 26 "D" 1653 "WSS" -65.05 43.25 0 20 164.5 "Basins_100-325m" "Cfin" "CI_III" 23.7 474 "01-10-26_43.25_-65.05" 1568 474 0.302295918367347 0.121580547112462 3.20680324363393
"75" "01-10-29_43.87_-62.86_Cfin_CI_III" "SS_CALSPP" "HL3" "BIONESS 0.5m" "01-10-29" 2001 "10" 29 "N" 500 "WSS" -62.86 43.87 0 25 251.2 "Basins_100-325m" "Cfin" "CI_III" 0 0 "01-10-29_43.87_-62.86" 2287 0 0 0.0995222929936306 0
"76" "01-10-31_44.04_-59.03_Cfin_CI_III" "SS_CALSPP" "GULLY" "BIONESS 0.5m" "01-10-31" 2001 "10" 31 "N" 2335 "ESS" -59.03 44.04 0 50 1073.5 "Oceanic_>750m" "Cfin" "CI_III" 27.26 1363 "01-10-31_44.04_-59.03" 1382 1363 0.986251808972504 0.0465766185374942 3.34144737725638
"77" "02-10-22_43.27_-65.02_Cfin_CI_III" "SS_CALSPP" "RL1" "BIONESS 0.5m" "02-10-22" 2002 "10" 22 "N" 2223 "WSS" -65.02 43.27 0 15 166.5 "Basins_100-325m" "Cfin" "CI_III" 0 0 "02-10-22_43.27_-65.02" 0 0 0 0.0900900900900901 0
"78" "02-10-22_43.88_-62.83_Cfin_CI_III" "SS_CALSPP" "HL3" "BIONESS 0.5m" "02-10-22" 2002 "10" 22 "N" 4 "WSS" -62.83 43.88 0 25 250.9 "Basins_100-325m" "Cfin" "CI_III" 6.68 167 "02-10-22_43.88_-62.83" 250 167 0.668 0.0996412913511359 2.03861954715958
"79" "03-04-18_43.84_-62.84_Cfin_CI_III" "SS_CALSPP" "HL3" "BIONESS 0.5m" "03-04-18" 2003 "4" 18 "D" 1805 "WSS" -62.84 43.84 0 25 240.6 "Basins_100-325m" "Cfin" "CI_III" 628.28 15707 "03-04-18_43.84_-62.84" 60884 15707 0.257982392746863 0.103906899418121 6.4445763086835
"80" "03-10-20_43.26_-65.04_Cfin_CI_III" "SS_CALSPP" "RL1" "BIONESS 0.5m" "03-10-20" 2003 "10" 20 "N" 612 "WSS" -65.04 43.26 1 16 164.6 "Basins_100-325m" "Cfin" "CI_III" 538.466666666667 8077 "03-10-20_43.26_-65.04" 9000 8077 0.897444444444444 0.0972053462940462 6.29058099718543
