,TID,DATA_SET,STATION,GEAR_MODEL,DATE_,Year,Month,Day,D.N,HEURE,Region,LONGITUDE,LATITUDE,ZMin,ZMax,Zstation,Z_habitat,TAXON,STADE,Ind.m3,ind.m2,ID,total_abund,cum_abund,pcum,percZ_stn,lInd.m3
11,08-11-01_48.21_-61.61_CV,Cfin_GSL,TCEN1,NA,08/11/2001,2008,11,1,D,10,NEGSL,-61.61,48.21,30,40,285,Basins_100-325m,Cfin,CV,67.63,676.3,08-11-01_48.21_-61.61,42914.2,2372.6,0.055287061,0.140350877,4.228729757
12,08-11-01_48.21_-61.61_CV,Cfin_GSL,TCEN1,NA,08/11/2001,2008,11,1,D,10,NEGSL,-61.61,48.21,40,70,285,Basins_100-325m,Cfin,CV,67.46,2023.8,08-11-01_48.21_-61.61,42914.2,4396.4,0.102446277,0.245614035,4.226249633
13,08-11-01_48.21_-61.61_CV,Cfin_GSL,TCEN1,NA,08/11/2001,2008,11,1,D,10,NEGSL,-61.61,48.21,70,100,285,Basins_100-325m,Cfin,CV,143.4133333,4302.4,08-11-01_48.21_-61.61,42914.2,8698.8,0.202702136,0.350877193,4.972679558
14,08-11-01_48.21_-61.61_CV,Cfin_GSL,TCEN1,NA,08/11/2001,2008,11,1,D,10,NEGSL,-61.61,48.21,100,140,285,Basins_100-325m,Cfin,CV,345.35,13814,08-11-01_48.21_-61.61,42914.2,22512.8,0.524600249,0.49122807,5.847449824
15,08-11-01_48.21_-61.61_CV,Cfin_GSL,TCEN1,NA,08/11/2001,2008,11,1,D,10,NEGSL,-61.61,48.21,140,160,285,Basins_100-325m,Cfin,CV,341.53,6830.6,08-11-01_48.21_-61.61,42914.2,29343.4,0.683769009,0.561403509,5.836359245
16,08-11-01_48.21_-61.61_CV,Cfin_GSL,TCEN1,NA,08/11/2001,2008,11,1,D,10,NEGSL,-61.61,48.21,160,180,285,Basins_100-325m,Cfin,CV,264.38,5287.6,08-11-01_48.21_-61.61,42914.2,34631,0.806982304,0.631578947,5.581162761
17,08-11-01_48.21_-61.61_CV,Cfin_GSL,TCEN1,NA,08/11/2001,2008,11,1,D,10,NEGSL,-61.61,48.21,180,220,285,Basins_100-325m,Cfin,CV,162.905,6516.2,08-11-01_48.21_-61.61,42914.2,41147.2,0.958824818,0.771929825,5.099286992
18,08-11-01_48.21_-61.61_CV,Cfin_GSL,TCEN1,NA,08/11/2001,2008,11,1,D,10,NEGSL,-61.61,48.21,220,285,285,Basins_100-325m,Cfin,CV,27.18461538,1767,08-11-01_48.21_-61.61,42914.2,42914.2,1,1,3.338776275
19,08-11-01_48.667_-68.583_CV,Cfin_GSL,TESL3,NA,08/11/2001,2008,11,1,D,12,LSLE,-68.583,48.667,0,50,320,Basins_100-325m,Cfin,CV,1.204,60.2,08-11-01_48.667_-68.583,17697.4,60.2,0.00340163,0.15625,0.790273891
20,08-11-01_48.667_-68.583_CV,Cfin_GSL,TESL3,NA,08/11/2001,2008,11,1,D,12,LSLE,-68.583,48.667,50,70,320,Basins_100-325m,Cfin,CV,0,0,08-11-01_48.667_-68.583,17697.4,60.2,0.00340163,0.21875,0
21,08-11-01_48.667_-68.583_CV,Cfin_GSL,TESL3,NA,08/11/2001,2008,11,1,D,12,LSLE,-68.583,48.667,70,115,320,Basins_100-325m,Cfin,CV,12.8,576,08-11-01_48.667_-68.583,17697.4,636.2,0.035948783,0.359375,2.624668592
22,08-11-01_48.667_-68.583_CV,Cfin_GSL,TESL3,NA,08/11/2001,2008,11,1,D,12,LSLE,-68.583,48.667,115,135,320,Basins_100-325m,Cfin,CV,64.985,1299.7,08-11-01_48.667_-68.583,17697.4,1935.9,0.10938895,0.421875,4.189427443
23,08-11-01_48.667_-68.583_CV,Cfin_GSL,TESL3,NA,08/11/2001,2008,11,1,D,12,LSLE,-68.583,48.667,135,165,320,Basins_100-325m,Cfin,CV,163.66,4909.8,08-11-01_48.667_-68.583,17697.4,6845.7,0.386819533,0.515625,5.103882742
24,08-11-01_48.667_-68.583_CV,Cfin_GSL,TESL3,NA,08/11/2001,2008,11,1,D,12,LSLE,-68.583,48.667,165,215,320,Basins_100-325m,Cfin,CV,139.65,6982.5,08-11-01_48.667_-68.583,17697.4,13828.2,0.781369015,0.671875,4.946274535
25,08-11-01_48.667_-68.583_CV,Cfin_GSL,TESL3,NA,08/11/2001,2008,11,1,D,12,LSLE,-68.583,48.667,215,320,320,Basins_100-325m,Cfin,CV,36.84952381,3869.2,08-11-01_48.667_-68.583,17697.4,17697.4,1,1,3.633618399
26,08-11-01_48.75_-68.667_CV,Cfin_GSL,TESL5,NA,08/11/2001,2008,11,1,D,16,LSLE,-68.667,48.75,0,40,330,Slope_325-750m,Cfin,CV,0.7025,28.1,08-11-01_48.75_-68.667,16554.3,28.1,0.001697444,0.121212121,0.532097759
27,08-11-01_48.75_-68.667_CV,Cfin_GSL,TESL5,NA,08/11/2001,2008,11,1,D,16,LSLE,-68.667,48.75,40,60,330,Slope_325-750m,Cfin,CV,4.625,92.5,08-11-01_48.75_-68.667,16554.3,120.6,0.007285116,0.181818182,1.727220948
28,08-11-01_48.75_-68.667_CV,Cfin_GSL,TESL5,NA,08/11/2001,2008,11,1,D,16,LSLE,-68.667,48.75,60,110,330,Slope_325-750m,Cfin,CV,9.75,487.5,08-11-01_48.75_-68.667,16554.3,608.1,0.036733658,0.333333333,2.374905755
29,08-11-01_48.75_-68.667_CV,Cfin_GSL,TESL5,NA,08/11/2001,2008,11,1,D,16,LSLE,-68.667,48.75,110,130,330,Slope_325-750m,Cfin,CV,83.96,1679.2,08-11-01_48.75_-68.667,16554.3,2287.3,0.138169539,0.393939394,4.442180557
30,08-11-01_48.75_-68.667_CV,Cfin_GSL,TESL5,NA,08/11/2001,2008,11,1,D,16,LSLE,-68.667,48.75,130,160,330,Slope_325-750m,Cfin,CV,113.71,3411.3,08-11-01_48.75_-68.667,16554.3,5698.6,0.344236845,0.484848485,4.742407204
31,08-11-01_48.75_-68.667_CV,Cfin_GSL,TESL5,NA,08/11/2001,2008,11,1,D,16,LSLE,-68.667,48.75,160,210,330,Slope_325-750m,Cfin,CV,150.226,7511.3,08-11-01_48.75_-68.667,16554.3,13209.9,0.79797394,0.636363636,5.018775407
32,08-11-01_48.75_-68.667_CV,Cfin_GSL,TESL5,NA,08/11/2001,2008,11,1,D,16,LSLE,-68.667,48.75,210,265,330,Slope_325-750m,Cfin,CV,46.65818182,2566.2,08-11-01_48.75_-68.667,16554.3,15776.1,0.952991066,0.803030303,3.864054322
33,08-11-01_48.75_-68.667_CV,Cfin_GSL,TESL5,NA,08/11/2001,2008,11,1,D,16,LSLE,-68.667,48.75,265,330,330,Slope_325-750m,Cfin,CV,11.97230769,778.2,08-11-01_48.75_-68.667,16554.3,16554.3,1,1,2.562816908
34,08-11-01_48.792_-60.973_CV,Cfin_GSL,TCEN5,NA,08/11/2001,2008,11,1,N,19,NEGSL,-60.973,48.792,0,45,240,Basins_100-325m,Cfin,CV,12.72222222,572.5,08-11-01_48.792_-60.973,13302,572.5,0.043038641,0.1875,2.619016579
35,08-11-01_48.792_-60.973_CV,Cfin_GSL,TCEN5,NA,08/11/2001,2008,11,1,N,19,NEGSL,-60.973,48.792,45,90,240,Basins_100-325m,Cfin,CV,61.46,2765.7,08-11-01_48.792_-60.973,13302,3338.2,0.250954744,0.375,4.134526352
36,08-11-01_48.792_-60.973_CV,Cfin_GSL,TCEN5,NA,08/11/2001,2008,11,1,N,19,NEGSL,-60.973,48.792,90,120,240,Basins_100-325m,Cfin,CV,27.98666667,839.6,08-11-01_48.792_-60.973,13302,4177.8,0.314073072,0.5,3.366835954
37,08-11-01_48.792_-60.973_CV,Cfin_GSL,TCEN5,NA,08/11/2001,2008,11,1,N,19,NEGSL,-60.973,48.792,120,130,240,Basins_100-325m,Cfin,CV,4.54,45.4,08-11-01_48.792_-60.973,13302,4223.2,0.317486092,0.541666667,1.711994501
38,08-11-01_48.792_-60.973_CV,Cfin_GSL,TCEN5,NA,08/11/2001,2008,11,1,N,19,NEGSL,-60.973,48.792,130,145,240,Basins_100-325m,Cfin,CV,13.25333333,198.8,08-11-01_48.792_-60.973,13302,4422,0.332431213,0.604166667,2.656990797
39,08-11-01_48.792_-60.973_CV,Cfin_GSL,TCEN5,NA,08/11/2001,2008,11,1,N,19,NEGSL,-60.973,48.792,145,170,240,Basins_100-325m,Cfin,CV,40.404,1010.1,08-11-01_48.792_-60.973,13302,5432.1,0.408367163,0.708333333,3.723377495
40,08-11-01_48.792_-60.973_CV,Cfin_GSL,TCEN5,NA,08/11/2001,2008,11,1,N,19,NEGSL,-60.973,48.792,170,190,240,Basins_100-325m,Cfin,CV,146.78,2935.6,08-11-01_48.792_-60.973,13302,8367.7,0.629055781,0.791666667,4.995724681
41,08-11-01_48.792_-60.973_CV,Cfin_GSL,TCEN5,NA,08/11/2001,2008,11,1,N,19,NEGSL,-60.973,48.792,190,240,240,Basins_100-325m,Cfin,CV,98.686,4934.3,08-11-01_48.792_-60.973,13302,13302,1,1,4.602025246
42,08-11-01_49.217_-64.8_CV,Cfin_GSL,TASO1,NA,08/11/2001,2008,11,1,N,5,NWGSL,-64.8,49.217,0,60,222,Basins_100-325m,Cfin,CV,8.065,483.9,08-11-01_49.217_-64.8,11960.9,483.9,0.040456822,0.27027027,2.204420844
43,08-11-01_49.217_-64.8_CV,Cfin_GSL,TASO1,NA,08/11/2001,2008,11,1,N,5,NWGSL,-64.8,49.217,60,70,222,Basins_100-325m,Cfin,CV,26,260,08-11-01_49.217_-64.8,11960.9,743.9,0.062194316,0.315315315,3.295836866
44,08-11-01_49.217_-64.8_CV,Cfin_GSL,TASO1,NA,08/11/2001,2008,11,1,N,5,NWGSL,-64.8,49.217,70,85,222,Basins_100-325m,Cfin,CV,31.74666667,476.2,08-11-01_49.217_-64.8,11960.9,1220.1,0.102007374,0.382882883,3.488801176
45,08-11-01_49.217_-64.8_CV,Cfin_GSL,TASO1,NA,08/11/2001,2008,11,1,N,5,NWGSL,-64.8,49.217,85,100,222,Basins_100-325m,Cfin,CV,20.05333333,300.8,08-11-01_49.217_-64.8,11960.9,1520.9,0.127155983,0.45045045,3.047058901
46,08-11-01_49.217_-64.8_CV,Cfin_GSL,TASO1,NA,08/11/2001,2008,11,1,N,5,NWGSL,-64.8,49.217,100,120,222,Basins_100-325m,Cfin,CV,24.365,487.3,08-11-01_49.217_-64.8,11960.9,2008.2,0.167897065,0.540540541,3.233370271
47,08-11-01_49.217_-64.8_CV,Cfin_GSL,TASO1,NA,08/11/2001,2008,11,1,N,5,NWGSL,-64.8,49.217,120,150,222,Basins_100-325m,Cfin,CV,71.45333333,2143.6,08-11-01_49.217_-64.8,11960.9,4151.8,0.347114348,0.675675676,4.282942676
48,08-11-01_49.217_-64.8_CV,Cfin_GSL,TASO1,NA,08/11/2001,2008,11,1,N,5,NWGSL,-64.8,49.217,150,194,222,Basins_100-325m,Cfin,CV,140.8159091,6195.9,08-11-01_49.217_-64.8,11960.9,10347.7,0.865127206,0.873873874,4.954529802
49,08-11-01_49.217_-64.8_CV,Cfin_GSL,TASO1,NA,08/11/2001,2008,11,1,N,5,NWGSL,-64.8,49.217,194,222,222,Basins_100-325m,Cfin,CV,57.61428571,1613.2,08-11-01_49.217_-64.8,11960.9,11960.9,1,1,4.07097845
50,08-11-01_49.4_-66.217_CV,Cfin_GSL,TSI2,NA,08/11/2001,2008,11,1,N,20,NWGSL,-66.217,49.4,0,30,260,Basins_100-325m,Cfin,CV,1.466666667,44,08-11-01_49.4_-66.217,13193.4,44,0.003335001,0.115384615,0.902867712
51,08-11-01_49.4_-66.217_CV,Cfin_GSL,TSI2,NA,08/11/2001,2008,11,1,N,20,NWGSL,-66.217,49.4,30,50,260,Basins_100-325m,Cfin,CV,1.265,25.3,08-11-01_49.4_-66.217,13193.4,69.3,0.005252626,0.192307692,0.817574759
52,08-11-01_49.4_-66.217_CV,Cfin_GSL,TSI2,NA,08/11/2001,2008,11,1,N,20,NWGSL,-66.217,49.4,50,70,260,Basins_100-325m,Cfin,CV,39.865,797.3,08-11-01_49.4_-66.217,13193.4,866.6,0.065684357,0.269230769,3.710273951
53,08-11-01_49.4_-66.217_CV,Cfin_GSL,TSI2,NA,08/11/2001,2008,11,1,N,20,NWGSL,-66.217,49.4,70,95,260,Basins_100-325m,Cfin,CV,24.76,619,08-11-01_49.4_-66.217,13193.4,1485.6,0.112601755,0.365384615,3.248822901
54,08-11-01_49.4_-66.217_CV,Cfin_GSL,TSI2,NA,08/11/2001,2008,11,1,N,20,NWGSL,-66.217,49.4,95,130,260,Basins_100-325m,Cfin,CV,14.39142857,503.7,08-11-01_49.4_-66.217,13193.4,1989.3,0.150779935,0.5,2.733810768
55,08-11-01_49.4_-66.217_CV,Cfin_GSL,TSI2,NA,08/11/2001,2008,11,1,N,20,NWGSL,-66.217,49.4,130,145,260,Basins_100-325m,Cfin,CV,3.466666667,52,08-11-01_49.4_-66.217,13193.4,2041.3,0.1547213,0.557692308,1.496642418
56,08-11-01_49.4_-66.217_CV,Cfin_GSL,TSI2,NA,08/11/2001,2008,11,1,N,20,NWGSL,-66.217,49.4,145,180,260,Basins_100-325m,Cfin,CV,231.5971429,8105.9,08-11-01_49.4_-66.217,13193.4,10147.2,0.769111829,0.692307692,5.449307957
57,08-11-01_49.4_-66.217_CV,Cfin_GSL,TSI2,NA,08/11/2001,2008,11,1,N,20,NWGSL,-66.217,49.4,180,225,260,Basins_100-325m,Cfin,CV,65.02444444,2926.1,08-11-01_49.4_-66.217,13193.4,13073.3,0.990896964,0.865384615,4.190025044
58,08-11-01_49.4_-66.217_CV,Cfin_GSL,TSI2,NA,08/11/2001,2008,11,1,N,20,NWGSL,-66.217,49.4,225,260,260,Basins_100-325m,Cfin,CV,3.431428571,120.1,08-11-01_49.4_-66.217,13193.4,13193.4,1,1,1.488722009
59,08-11-01_49.55_-64.517_CV,Cfin_GSL,TASO4,NA,08/11/2001,2008,11,1,D,11,NWGSL,-64.517,49.55,0,25,285,Basins_100-325m,Cfin,CV,2.148,53.7,08-11-01_49.55_-64.517,18562.3,53.7,0.00289296,0.087719298,1.146767331
60,08-11-01_49.55_-64.517_CV,Cfin_GSL,TASO4,NA,08/11/2001,2008,11,1,D,11,NWGSL,-64.517,49.55,25,35,285,Basins_100-325m,Cfin,CV,2.67,26.7,08-11-01_49.55_-64.517,18562.3,80.4,0.00433136,0.122807018,1.300191662
61,08-11-01_49.55_-64.517_CV,Cfin_GSL,TASO4,NA,08/11/2001,2008,11,1,D,11,NWGSL,-64.517,49.55,35,50,285,Basins_100-325m,Cfin,CV,4.113333333,61.7,08-11-01_49.55_-64.517,18562.3,142.1,0.007655301,0.175438596,1.631851507
62,08-11-01_49.55_-64.517_CV,Cfin_GSL,TASO4,NA,08/11/2001,2008,11,1,D,11,NWGSL,-64.517,49.55,50,95,285,Basins_100-325m,Cfin,CV,58.46666667,2631,08-11-01_49.55_-64.517,18562.3,2773.1,0.149394202,0.333333333,4.085415931
63,08-11-01_49.55_-64.517_CV,Cfin_GSL,TASO4,NA,08/11/2001,2008,11,1,D,11,NWGSL,-64.517,49.55,95,120,285,Basins_100-325m,Cfin,CV,56.384,1409.6,08-11-01_49.55_-64.517,18562.3,4182.7,0.225333068,0.421052632,4.049765519
64,08-11-01_49.55_-64.517_CV,Cfin_GSL,TASO4,NA,08/11/2001,2008,11,1,D,11,NWGSL,-64.517,49.55,120,150,285,Basins_100-325m,Cfin,CV,57.82666667,1734.8,08-11-01_49.55_-64.517,18562.3,5917.5,0.318791314,0.526315789,4.074595267
65,08-11-01_49.55_-64.517_CV,Cfin_GSL,TASO4,NA,08/11/2001,2008,11,1,D,11,NWGSL,-64.517,49.55,150,185,285,Basins_100-325m,Cfin,CV,229.9571429,8048.5,08-11-01_49.55_-64.517,18562.3,13966,0.752385211,0.649122807,5.442232165
66,08-11-01_49.55_-64.517_CV,Cfin_GSL,TASO4,NA,08/11/2001,2008,11,1,D,11,NWGSL,-64.517,49.55,185,240,285,Basins_100-325m,Cfin,CV,74.69636364,4108.3,08-11-01_49.55_-64.517,18562.3,18074.3,0.973710154,0.842105263,4.326730123
67,08-11-01_49.55_-64.517_CV,Cfin_GSL,TASO4,NA,08/11/2001,2008,11,1,D,11,NWGSL,-64.517,49.55,240,285,285,Basins_100-325m,Cfin,CV,10.84444444,488,08-11-01_49.55_-64.517,18562.3,18562.3,1,1,2.471858934
68,08-11-01_49.85_-59.45_CV,Cfin_GSL,TBB5,NA,08/11/2001,2008,11,1,N,19,NEGSL,-59.45,49.85,0,40,255,Basins_100-325m,Cfin,CV,0.5575,22.3,08-11-01_49.85_-59.45,8259.6,22.3,0.002699889,0.156862745,0.443081972
69,08-11-01_49.85_-59.45_CV,Cfin_GSL,TBB5,NA,08/11/2001,2008,11,1,N,19,NEGSL,-59.45,49.85,40,50,255,Basins_100-325m,Cfin,CV,1.47,14.7,08-11-01_49.85_-59.45,8259.6,37,0.004479636,0.196078431,0.904218151
70,08-11-01_49.85_-59.45_CV,Cfin_GSL,TBB5,NA,08/11/2001,2008,11,1,N,19,NEGSL,-59.45,49.85,50,100,255,Basins_100-325m,Cfin,CV,2.744,137.2,08-11-01_49.85_-59.45,8259.6,174.2,0.02109061,0.392156863,1.320154559
71,08-11-01_49.85_-59.45_CV,Cfin_GSL,TBB5,NA,08/11/2001,2008,11,1,N,19,NEGSL,-59.45,49.85,100,130,255,Basins_100-325m,Cfin,CV,5.936666667,178.1,08-11-01_49.85_-59.45,8259.6,352.3,0.042653397,0.509803922,1.936821352
72,08-11-01_49.85_-59.45_CV,Cfin_GSL,TBB5,NA,08/11/2001,2008,11,1,N,19,NEGSL,-59.45,49.85,130,170,255,Basins_100-325m,Cfin,CV,45.1875,1807.5,08-11-01_49.85_-59.45,8259.6,2159.8,0.261489661,0.666666667,3.832709199
73,08-11-01_49.85_-59.45_CV,Cfin_GSL,TBB5,NA,08/11/2001,2008,11,1,N,19,NEGSL,-59.45,49.85,170,190,255,Basins_100-325m,Cfin,CV,53.235,1064.7,08-11-01_49.85_-59.45,8259.6,3224.5,0.390394208,0.745098039,3.993326456
74,08-11-01_49.85_-59.45_CV,Cfin_GSL,TBB5,NA,08/11/2001,2008,11,1,N,19,NEGSL,-59.45,49.85,190,210,255,Basins_100-325m,Cfin,CV,47.7,954,08-11-01_49.85_-59.45,8259.6,4178.5,0.505896169,0.823529412,3.88567903
75,08-11-01_49.85_-59.45_CV,Cfin_GSL,TBB5,NA,08/11/2001,2008,11,1,N,19,NEGSL,-59.45,49.85,210,230,255,Basins_100-325m,Cfin,CV,115.61,2312.2,08-11-01_49.85_-59.45,8259.6,6490.7,0.785837087,0.901960784,4.758835034
76,08-11-01_49.85_-59.45_CV,Cfin_GSL,TBB5,NA,08/11/2001,2008,11,1,N,19,NEGSL,-59.45,49.85,230,255,255,Basins_100-325m,Cfin,CV,70.756,1768.9,08-11-01_49.85_-59.45,8259.6,8259.6,1,1,4.273271475
77,08-11-01_49.882_-66.267_CV,Cfin_GSL,TSI5,NA,08/11/2001,2008,11,1,D,5,NWGSL,-66.267,49.882,0,30,320,Basins_100-325m,Cfin,CV,1.623333333,48.7,08-11-01_49.882_-66.267,15618.4,48.7,0.003118117,0.09375,0.964445774
78,08-11-01_49.882_-66.267_CV,Cfin_GSL,TSI5,NA,08/11/2001,2008,11,1,D,5,NWGSL,-66.267,49.882,30,40,320,Basins_100-325m,Cfin,CV,5.33,53.3,08-11-01_49.882_-66.267,15618.4,102,0.006530759,0.125,1.845300236
79,08-11-01_49.882_-66.267_CV,Cfin_GSL,TSI5,NA,08/11/2001,2008,11,1,D,5,NWGSL,-66.267,49.882,40,60,320,Basins_100-325m,Cfin,CV,6.03,120.6,08-11-01_49.882_-66.267,15618.4,222.6,0.01425242,0.1875,1.950186706
80,08-11-01_49.882_-66.267_CV,Cfin_GSL,TSI5,NA,08/11/2001,2008,11,1,D,5,NWGSL,-66.267,49.882,60,100,320,Basins_100-325m,Cfin,CV,16.7575,670.3,08-11-01_49.882_-66.267,15618.4,892.9,0.057169749,0.3125,2.876807962
81,08-11-01_49.882_-66.267_CV,Cfin_GSL,TSI5,NA,08/11/2001,2008,11,1,D,5,NWGSL,-66.267,49.882,100,120,320,Basins_100-325m,Cfin,CV,22.295,445.9,08-11-01_49.882_-66.267,15618.4,1338.8,0.085719408,0.375,3.148238745
82,08-11-01_49.882_-66.267_CV,Cfin_GSL,TSI5,NA,08/11/2001,2008,11,1,D,5,NWGSL,-66.267,49.882,120,140,320,Basins_100-325m,Cfin,CV,91.625,1832.5,08-11-01_49.882_-66.267,15618.4,3171.3,0.203048968,0.4375,4.528559084
83,08-11-01_49.882_-66.267_CV,Cfin_GSL,TSI5,NA,08/11/2001,2008,11,1,D,5,NWGSL,-66.267,49.882,140,170,320,Basins_100-325m,Cfin,CV,162.6366667,4879.1,08-11-01_49.882_-66.267,15618.4,8050.4,0.515443323,0.53125,5.097648523
84,08-11-01_49.882_-66.267_CV,Cfin_GSL,TSI5,NA,08/11/2001,2008,11,1,D,5,NWGSL,-66.267,49.882,170,240,320,Basins_100-325m,Cfin,CV,100.2357143,7016.5,08-11-01_49.882_-66.267,15618.4,15066.9,0.964689085,0.75,4.617451603
85,08-11-01_49.882_-66.267_CV,Cfin_GSL,TSI5,NA,08/11/2001,2008,11,1,D,5,NWGSL,-66.267,49.882,240,320,320,Basins_100-325m,Cfin,CV,6.89375,551.5,08-11-01_49.882_-66.267,15618.4,15618.4,1,1,2.066071307
86,09-11-01_47.43_-59.54_CV,Cfin_GSL,TDC5,NA,09/11/2001,2009,11,1,N,17,NEGSL,-59.54,47.43,0,53,461,Slope_325-750m,Cfin,CV,5.126415094,271.7,09-11-01_47.43_-59.54,16300.3,271.7,0.016668405,0.114967462,1.812609766
87,09-11-01_47.43_-59.54_CV,Cfin_GSL,TDC5,NA,09/11/2001,2009,11,1,N,17,NEGSL,-59.54,47.43,53,96,461,Slope_325-750m,Cfin,CV,9.53255814,409.9,09-11-01_47.43_-59.54,16300.3,681.6,0.041815181,0.20824295,2.354471235
88,09-11-01_47.43_-59.54_CV,Cfin_GSL,TDC5,NA,09/11/2001,2009,11,1,N,17,NEGSL,-59.54,47.43,96,121,461,Slope_325-750m,Cfin,CV,7.032,175.8,09-11-01_47.43_-59.54,16300.3,857.4,0.052600259,0.262472885,2.083433563
89,09-11-01_47.43_-59.54_CV,Cfin_GSL,TDC5,NA,09/11/2001,2009,11,1,N,17,NEGSL,-59.54,47.43,121,140,461,Slope_325-750m,Cfin,CV,5.452631579,103.6,09-11-01_47.43_-59.54,16300.3,961,0.05895597,0.303687636,1.864488044
90,09-11-01_47.43_-59.54_CV,Cfin_GSL,TDC5,NA,09/11/2001,2009,11,1,N,17,NEGSL,-59.54,47.43,140,204,461,Slope_325-750m,Cfin,CV,2.8453125,182.1,09-11-01_47.43_-59.54,16300.3,1143.1,0.070127544,0.442516269,1.346854874
91,09-11-01_47.43_-59.54_CV,Cfin_GSL,TDC5,NA,09/11/2001,2009,11,1,N,17,NEGSL,-59.54,47.43,204,281,461,Slope_325-750m,Cfin,CV,35.38181818,2724.4,09-11-01_47.43_-59.54,16300.3,3867.5,0.237265572,0.609544469,3.594069149
92,09-11-01_47.43_-59.54_CV,Cfin_GSL,TDC5,NA,09/11/2001,2009,11,1,N,17,NEGSL,-59.54,47.43,281,324,461,Slope_325-750m,Cfin,CV,98.35813953,4229.4,09-11-01_47.43_-59.54,16300.3,8096.9,0.496733189,0.702819957,4.598730894
93,09-11-01_47.43_-59.54_CV,Cfin_GSL,TDC5,NA,09/11/2001,2009,11,1,N,17,NEGSL,-59.54,47.43,324,380,461,Slope_325-750m,Cfin,CV,17.33214286,970.6,09-11-01_47.43_-59.54,16300.3,9067.5,0.556278105,0.824295011,2.908655959
94,09-11-01_47.43_-59.54_CV,Cfin_GSL,TDC5,NA,09/11/2001,2009,11,1,N,17,NEGSL,-59.54,47.43,380,461,461,Slope_325-750m,Cfin,CV,89.29382716,7232.8,09-11-01_47.43_-59.54,16300.3,16300.3,1,1,4.503069099
95,09-11-01_48.66_-68.6_CV,Cfin_GSL,TESL3,NA,09/11/2001,2009,11,1,D,11,LSLE,-68.6,48.66,0,20,316,Basins_100-325m,Cfin,CV,1.415,28.3,09-11-01_48.66_-68.6,19711.1,28.3,0.001435739,0.063291139,0.881699287
