	TID	DATA_SET	STATION	GEAR_MODEL	DATE_	Year	Month	Day	D.N	HEURE	Region	LONGITUDE	LATITUDE	ZMin	ZMax	Zstation	Z_habitat	TAXON	STADE	Ind.m3	ind.m2	ID	total_abund	cum_abund	pcum	percZ_stn
31	84-10-27_43.89_-62.94_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	84-10-27	1984	10	27	N	100	WSS	-62.94	43.89	0	210	261	Basins_100-325m	Cfin	CI_III	1.333333333	280	84-10-27_43.89_-62.94	292	280	0.95890411	0.804597701
32	84-10-27_43.95_-62.93_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	84-10-27	1984	10	27	D	1100	WSS	-62.93	43.95	0	100	250.2	Basins_100-325m	Cfin	CI_III	0	0	84-10-27_43.95_-62.93	9	0	0	0.399680256
33	84-10-28_43.67_-63.84_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	84-10-28	1984	10	28	N	1920	WSS	-63.84	43.67	0	110	241.1	Basins_100-325m	Cfin	CI_III	0.663636364	73	84-10-28_43.67_-63.84	74	73	0.986486486	0.456242223
34	85-06-11_44.68_-56.49_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	85-06-11	1985	6	11	D	1800	ESS	-56.49	44.68	0	20	400	Slope_325-750m	Cfin	CI_III	5.75	115	85-06-11_44.68_-56.49	447	115	0.257270694	0.05
35	85-06-04_43.17_-62.33_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	85-06-04	1985	6	4	D	1830	WSS	-62.33	43.17	0	7	96.9	Shelf_0-100m	Cfin	CI_III	14	98	85-06-04_43.17_-62.33	1020	98	0.096078431	0.072239422
36	85-06-04_43.55_-62.63_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	85-06-04	1985	6	4	N	2130	WSS	-62.63	43.55	0	7	94.1	Shelf_0-100m	Cfin	CI_III	380.1428571	2661	85-06-04_43.55_-62.63	23257	2661	0.114417165	0.074388948
37	85-06-05_43.72_-63.01_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	85-06-05	1985	6	5	N	2130	WSS	-63.01	43.72	0	12	258.7	Basins_100-325m	Cfin	CI_III	22.5	270	85-06-05_43.72_-63.01	917	270	0.294438386	0.046385775
38	85-06-05_43.77_-62.63_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	85-06-05	1985	6	5	D	830	WSS	-62.63	43.77	0	10	200	Basins_100-325m	Cfin	CI_III	138.2	1382	85-06-05_43.77_-62.63	4362	1382	0.316827144	0.05
39	85-06-05_43.99_-63.09_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	85-06-05	1985	6	5	N	1945	WSS	-63.09	43.99	0	10	201.1	Basins_100-325m	Cfin	CI_III	2095.5	20955	85-06-05_43.99_-63.09	22882	20955	0.915785333	0.049726504
40	85-06-05_44_-62.98_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	85-06-05	1985	6	5	D	1300	WSS	-62.98	44	0	10	231.3	Basins_100-325m	Cfin	CI_III	303	3030	85-06-05_44_-62.98	16159	3030	0.187511603	0.043233895
41	85-06-06_44.36_-63.29_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	85-06-06	1985	6	6	D	845	ESS	-63.29	44.36	0	5	117.7	Basins_100-325m	Cfin	CI_III	532.6	2663	85-06-06_44.36_-63.29	8861	2663	0.300530414	0.042480884
42	85-06-07_44.93_-59.55_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	85-06-07	1985	6	7	N	2030	ESS	-59.55	44.93	0	7	180.9	Basins_100-325m	Cfin	CI_III	373	2611	85-06-07_44.93_-59.55	16530	2611	0.157955233	0.038695412
43	85-06-07_45.41_-60.16_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	85-06-07	1985	6	7	D	900	ESS	-60.16	45.41	0	11	153.1	Basins_100-325m	Cfin	CI_III	1322.090909	14543	85-06-07_45.41_-60.16	27639	14543	0.526176779	0.071848465
44	85-06-08_43.79_-58.51_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	85-06-08	1985	6	8	N	2230	ESS	-58.51	43.79	175	200	2335.6	Oceanic_>750m	Cfin	CI_III	0	0	85-06-08_43.79_-58.51	0	0	0	0.085631101
45	85-06-08_43.81_-58.51_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	85-06-08	1985	6	8	N	2100	ESS	-58.51	43.81	0	10	2253	Oceanic_>750m	Cfin	CI_III	0	0	85-06-08_43.81_-58.51	6	0	0	0.004438526
46	85-06-08_44.15_-58.62_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	85-06-08	1985	6	8	D	1700	ESS	-58.62	44.15	0	11	152	Basins_100-325m	Cfin	CI_III	3.545454545	39	85-06-08_44.15_-58.62	331	39	0.117824773	0.072368421
47	85-06-08_44.52_-59_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	85-06-08	1985	6	8	D	1200	ESS	-59	44.52	0	4	52.4	Shelf_0-100m	Cfin	CI_III	11.75	47	85-06-08_44.52_-59	19794	47	0.002374457	0.076335878
48	85-06-08_44.72_-59.27_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	85-06-08	1985	6	8	D	815	ESS	-59.27	44.72	0	7	92.6	Shelf_0-100m	Cfin	CI_III	40.42857143	283	85-06-08_44.72_-59.27	16537	283	0.01711314	0.075593952
49	85-06-09_44.41_-56.29_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	85-06-09	1985	6	9	D	1230	ESS	-56.29	44.41	0	10	1692.7	Oceanic_>750m	Cfin	CI_III	1.9	19	85-06-09_44.41_-56.29	271	19	0.070110701	0.005907721
50	85-06-10_45.74_-57.41_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	85-06-10	1985	6	10	D	1100	ESS	-57.41	45.74	0	20	443.7	Slope_325-750m	Cfin	CI_III	17.15	343	85-06-10_45.74_-57.41	2047	343	0.167562286	0.045075501
51	85-06-10_46.51_-58.11_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	85-06-10	1985	6	10	N	2200	ESS	-58.11	46.51	0	20	457.5	Slope_325-750m	Cfin	CI_III	164.95	3299	85-06-10_46.51_-58.11	4962	3299	0.664852882	0.043715847
52	85-06-11_45.3_-57.03_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	85-06-11	1985	6	11	D	900	ESS	-57.03	45.3	0	20	438	Slope_325-750m	Cfin	CI_III	0.75	15	85-06-11_45.3_-57.03	265	15	0.056603774	0.0456621
53	85-06-13_45.77_-58.94_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	85-06-13	1985	6	13	D	1330	ESS	-58.94	45.77	0	20	234.6	Basins_100-325m	Cfin	CI_III	566.75	11335	85-06-13_45.77_-58.94	11516	11335	0.984282737	0.085251492
54	85-09-17_44.2_-63.16_Cfin_CI_III	SS_CALSPP	2	BIONESS 1.0m	85-09-17	1985	9	17	N	2230	ESS	-63.16	44.2	0	10	170.6	Basins_100-325m	Cfin	CI_III	26.3	263	85-09-17_44.2_-63.16	563	263	0.46714032	0.058616647
55	85-09-17_44.35_-63.29_Cfin_CI_III	SS_CALSPP	HL2	BIONESS 1.0m	85-09-17	1985	9	17	D	1800	ESS	-63.29	44.35	0	10	140.7	Basins_100-325m	Cfin	CI_III	21.4	214	85-09-17_44.35_-63.29	813	214	0.263222632	0.071073205
56	85-09-18_43.15_-62.29_Cfin_CI_III	SS_CALSPP	HL3	BIONESS 1.0m	85-09-18	1985	9	18	D	1330	WSS	-62.29	43.15	2	25	210	Basins_100-325m	Cfin	CI_III	0.52173913	12	85-09-18_43.15_-62.29	21	12	0.571428571	0.119047619
57	85-09-18_43.56_-62.63_Cfin_CI_III	SS_CALSPP	HL3	BIONESS 1.0m	85-09-18	1985	9	18	N	2000	WSS	-62.63	43.56	1	15.8	257	Basins_100-325m	Cfin	CI_III	1.283783784	19	85-09-18_43.56_-62.63	40	19	0.475	0.061478599
58	85-09-18_43.78_-62.81_Cfin_CI_III	SS_CALSPP	LINE 1	BIONESS 1.0m	85-09-18	1985	9	18	D	1730	WSS	-62.81	43.78	190	202	230	Basins_100-325m	Cfin	CI_III	0	0	85-09-18_43.78_-62.81	3	0	0	0.87826087
59	85-09-18_43.97_-62.96_Cfin_CI_III	SS_CALSPP	HL3	BIONESS 1.0m	85-09-18	1985	9	18	D	1030	WSS	-62.96	43.97	100	115	243.9	Basins_100-325m	Cfin	CI_III	0	0	85-09-18_43.97_-62.96	0	0	0	0.471504715
60	85-09-18_43.98_-62.98_Cfin_CI_III	SS_CALSPP	HL3	BIONESS 1.0m	85-09-18	1985	9	18	D	830	WSS	-62.98	43.98	0	10	236.9	Basins_100-325m	Cfin	CI_III	0.8	8	85-09-18_43.98_-62.98	24	8	0.333333333	0.042211904
61	85-09-19_43.14_-61.99_Cfin_CI_III	SS_CALSPP	6	BIONESS 1.0m	85-09-19	1985	9	19	N	2015	WSS	-61.99	43.14	0	7	95.3	Shelf_0-100m	Cfin	CI_III	3.428571429	24	85-09-19_43.14_-61.99	858	24	0.027972028	0.073452256
62	85-09-21_45.16_-59.42_Cfin_CI_III	SS_CALSPP	10	BIONESS 1.0m	85-09-21	1985	9	21	N	2130	ESS	-59.42	45.16	0	10	79.6	Shelf_0-100m	Cfin	CI_III	376.7	3767	85-09-21_45.16_-59.42	6310	3767	0.596988906	0.125628141
63	85-09-21_45.45_-59.65_Cfin_CI_III	SS_CALSPP	LL3	BIONESS 1.0m	85-09-21	1985	9	21	D	1745	ESS	-59.65	45.45	15	25	140.8	Basins_100-325m	Cfin	CI_III	301	3010	85-09-21_45.45_-59.65	3301	3010	0.911844895	0.177556818
64	85-09-21_45.75_-59.84_Cfin_CI_III	SS_CALSPP	8	BIONESS 1.0m	85-09-21	1985	9	21	D	1330	ESS	-59.84	45.75	0	10	100.1	Basins_100-325m	Cfin	CI_III	69.9	699	85-09-21_45.75_-59.84	8510	699	0.08213866	0.0999001
65	85-09-22_44.84_-59.2_Cfin_CI_III	SS_CALSPP	11	BIONESS 1.0m	85-09-22	1985	9	22	D	830	ESS	-59.2	44.84	0	10	169.5	Basins_100-325m	Cfin	CI_III	1082	10820	85-09-22_44.84_-59.2	15797	10820	0.684940179	0.05899705
66	85-09-23_43.94_-58.61_Cfin_CI_III	SS_CALSPP	15	BIONESS 1.0m	85-09-23	1985	9	23	D	1430	ESS	-58.61	43.94	200	250	845.8	Oceanic_>750m	Cfin	CI_III	0	0	85-09-23_43.94_-58.61	7	0	0	0.295578151
67	85-09-23_44.22_-58.77_Cfin_CI_III	SS_CALSPP	15	BIONESS 1.0m	85-09-23	1985	9	23	D	1330	ESS	-58.77	44.22	0	10	70.2	Shelf_0-100m	Cfin	CI_III	1	10	85-09-23_44.22_-58.77	84	10	0.119047619	0.142450142
68	85-09-25_45.82_-58.49_Cfin_CI_III	SS_CALSPP	I	BIONESS 1.0m	85-09-25	1985	9	25	D	1330	ESS	-58.49	45.82	0	20	285	Basins_100-325m	Cfin	CI_III	134.05	2681	85-09-25_45.82_-58.49	3013	2681	0.88981082	0.070175439
69	85-09-25_45.99_-58.47_Cfin_CI_III	SS_CALSPP	II	BIONESS 1.0m	85-09-25	1985	9	25	D	1530	ESS	-58.47	45.99	0	30	270	Basins_100-325m	Cfin	CI_III	94.16666667	2825	85-09-25_45.99_-58.47	3045	2825	0.927750411	0.111111111
70	85-09-26_45.3_-57.03_Cfin_CI_III	SS_CALSPP	18	BIONESS 1.0m	85-09-26	1985	9	26	N	2300	ESS	-57.03	45.3	0	10	438	Slope_325-750m	Cfin	CI_III	6.4	64	85-09-26_45.3_-57.03	231	64	0.277056277	0.02283105
71	85-09-26_45.77_-57.44_Cfin_CI_III	SS_CALSPP	19	BIONESS 1.0m	85-09-26	1985	9	26	D	1730	ESS	-57.44	45.77	0	20	451.5	Slope_325-750m	Cfin	CI_III	227.35	4547	85-09-26_45.77_-57.44	5047	4547	0.900931246	0.044296788
72	85-09-26_46.52_-58.27_Cfin_CI_III	SS_CALSPP	20	BIONESS 1.0m	85-09-26	1985	9	26	D	830	ESS	-58.27	46.52	0	20	451.3	Slope_325-750m	Cfin	CI_III	72.1	1442	85-09-26_46.52_-58.27	1575	1442	0.915555556	0.044316419
73	85-09-27_44.42_-56.27_Cfin_CI_III	SS_CALSPP	16	BIONESS 1.0m	85-09-27	1985	9	27	D	1530	ESS	-56.27	44.42	650	750	1627.8	Oceanic_>750m	Cfin	CI_III	0	0	85-09-27_44.42_-56.27	3	0	0	0.460744563
74	85-09-27_44.68_-56.5_Cfin_CI_III	SS_CALSPP	17	BIONESS 1.0m	85-09-27	1985	9	27	D	930	ESS	-56.5	44.68	0	10	383.8	Slope_325-750m	Cfin	CI_III	1.6	16	85-09-27_44.68_-56.5	205	16	0.07804878	0.026055237
75	85-11-11_44.42_-56.27_Cfin_CI_III	SS_CALSPP	16	BIONESS 1.0m	85-11-11	1985	11	11	D	1230	ESS	-56.27	44.42	0	30	1627.8	Oceanic_>750m	Cfin	CI_III	0.266666667	8	85-11-11_44.42_-56.27	65	8	0.123076923	0.018429783
76	86-09-28_43.82_-62.92_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	86-09-28	1986	9	28	D	1302	WSS	-62.92	43.82	100	120	259.2	Basins_100-325m	Cfin	CI_III	0	0	86-09-28_43.82_-62.92	3	0	0	0.462962963
77	86-09-28_43.82_-62.94_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	86-09-28	1986	9	28	D	830	WSS	-62.94	43.82	0	10	264.1	Basins_100-325m	Cfin	CI_III	0	0	86-09-28_43.82_-62.94	28	0	0	0.037864445
78	86-09-28_43.84_-62.93_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	86-09-28	1986	9	28	N	2000	WSS	-62.93	43.84	0	10	261.4	Basins_100-325m	Cfin	CI_III	0	0	86-09-28_43.84_-62.93	22	0	0	0.038255547
79	86-09-29_43.5_-62.7_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	86-09-29	1986	9	29	D	1548	WSS	-62.7	43.5	0	5	100.9	Basins_100-325m	Cfin	CI_III	0	0	86-09-29_43.5_-62.7	20	0	0	0.049554014
80	86-09-29_44.04_-63.1_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	86-09-29	1986	9	29	N	2037	ESS	-63.1	44.04	0	20	189.2	Basins_100-325m	Cfin	CI_III	0	0	86-09-29_44.04_-63.1	24	0	0	0.105708245
81	86-09-29_44.19_-63.2_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	86-09-29	1986	9	29	N	2300	ESS	-63.2	44.19	0	10	170.8	Basins_100-325m	Cfin	CI_III	0	0	86-09-29_44.19_-63.2	151	0	0	0.058548009
82	86-10-01_43.63_-63.13_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	86-10-01	1986	10	1	D	1256	WSS	-63.13	43.63	140	162	249.3	Basins_100-325m	Cfin	CI_III	0	0	86-10-01_43.63_-63.13	0	0	0	0.649819495
83	86-10-02_43.84_-62.94_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	86-10-02	1986	10	2	N	115	WSS	-62.94	43.84	5	50	262.9	Basins_100-325m	Cfin	CI_III	0	0	86-10-02_43.84_-62.94	0	0	0	0.190186383
84	86-10-03_45.81_-58.55_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	86-10-03	1986	10	3	D	1630	ESS	-58.55	45.81	0	10	294	Basins_100-325m	Cfin	CI_III	16.3	163	86-10-03_45.81_-58.55	193	163	0.844559585	0.034013605
85	86-10-03_45.82_-58.48_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	86-10-03	1986	10	3	D	1515	ESS	-58.48	45.82	155	170	282	Basins_100-325m	Cfin	CI_III	0	0	86-10-03_45.82_-58.48	0	0	0	0.602836879
86	86-10-03_45.82_-58.53_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	86-10-03	1986	10	3	N	1930	ESS	-58.53	45.82	0	10	300.1	Basins_100-325m	Cfin	CI_III	0	0	86-10-03_45.82_-58.53	30	0	0	0.033322226
87	86-10-03_45.83_-58.49_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	86-10-03	1986	10	3	N	2039	ESS	-58.49	45.83	140	170	271.8	Basins_100-325m	Cfin	CI_III	0	0	86-10-03_45.83_-58.49	5	0	0	0.625459897
88	86-10-04_45.69_-58.42_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	86-10-04	1986	10	4	D	930	ESS	-58.42	45.69	0	37	360	Slope_325-750m	Cfin	CI_III	0.540540541	20	86-10-04_45.69_-58.42	20	20	1	0.102777778
89	87-06-13_43.7_-62.99_Cfin_CI_III	SS_CALSPP	1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	0	16	251.4	Basins_100-325m	Cfin	CI_III	87.5625	1401	87-06-13_43.7_-62.99	3698	1401	0.378853434	0.063643596
90	87-06-13_43.78_-63_Cfin_CI_III	SS_CALSPP	HL3	BIONESS 1.0m	87-06-13	1987	6	13	N	32	WSS	-63	43.78	160	170	265.3	Basins_100-325m	Cfin	CI_III	1.9	19	87-06-13_43.78_-63	481	19	0.03950104	0.640784018
91	87-07-07_43.7_-63.07_Cfin_CI_III	SS_CALSPP	350	BIONESS 1.0m	87-07-07	1987	7	7	N	345	WSS	-63.07	43.7	116	134	264.9	Basins_100-325m	Cfin	CI_III	0	0	87-07-07_43.7_-63.07	0	0	0	0.505851265
92	87-07-07_43.76_-62.98_Cfin_CI_III	SS_CALSPP	352	BIONESS 1.0m	87-07-07	1987	7	7	N	530	WSS	-62.98	43.76	0	10	261	Basins_100-325m	Cfin	CI_III	1.8	18	87-07-07_43.76_-62.98	23	18	0.782608696	0.038314176
93	88-04-14_43.73_-62.95_Cfin_CI_III	SS_CALSPP	HL3	BIONESS 1.0m	88-04-14	1988	4	14	D	1500	WSS	-62.95	43.73	0	10	250	Basins_100-325m	Cfin	CI_III	465.7	4657	88-04-14_43.73_-62.95	19739	4657	0.235928872	0.04
94	88-04-14_43.68_-63.75_Cfin_CI_III	SS_CALSPP	LHB	BIONESS 1.0m	88-04-14	1988	4	14	N	2215	WSS	-63.75	43.68	0	10	232.5	Basins_100-325m	Cfin	CI_III	217.4	2174	88-04-14_43.68_-63.75	18017	2174	0.120663818	0.043010753
95	88-04-27_43.78_-63_Cfin_CI_III	SS_CALSPP	HL3	BIONESS 1.0m	88-04-27	1988	4	27	N	2230	WSS	-63	43.78	0	10	265.3	Basins_100-325m	Cfin	CI_III	83.3	833	88-04-27_43.78_-63	3477	833	0.239574346	0.037693178
